"source","target","correlation","direct","cor"
"X1.Amino.3.3.dimethyl.2.butanone","seq785",0.644408034194967,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq398",0.735526474966792,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq398",0.639144875161215,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq413",0.728289631295384,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq413",0.637829085402778,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq660",0.667607226559826,"undirected","+"
"pantothenic.acid","seq660",-0.640410811898805,"undirected","-"
"X4.Formyl.2.hydroxybenzoic.acid","seq819",0.721710682503194,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq819",0.633881716127464,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq770",0.727631736416165,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq770",0.639802770040434,"undirected","+"
"X4.Formyl.2.hydroxybenzoic.acid","seq848",0.744737003275858,"undirected","+"
"X1.Amino.3.3.dimethyl.2.butanone","seq848",0.6490132983495,"undirected","+"
"Tyr.Pro","seq1636",0.63584816272791,"undirected","+"
"Ile.Pro","seq1636",0.672139139910954,"undirected","+"
"Gallic.acid","seq1819",-0.679207717092408,"undirected","-"
"X1..1Z.Hexadecenyl..sn.glycero.3.phosphocholine","seq1819",0.638978237304111,"undirected","+"
"Aminomethylphosphonic.acid","seq1187",0.678395709139677,"undirected","+"
"X5..2.Chlorobenzyl..1.3.thiazol.2.amine","seq1187",0.672211941281568,"undirected","+"
"X1.Methylxanthine","seq249",0.699095491152827,"undirected","+"
"Xanthosine","seq249",0.647895911782683,"undirected","+"
"X1.Methylxanthine","seq442",0.705416426877536,"undirected","+"
"Xanthosine","seq442",0.658009408942218,"undirected","+"
"X3.METHYLADIPIC.ACID","seq1435",0.680691111736974,"undirected","+"
"X6.Oxooctadecanoic.acid","seq1435",-0.654912007415105,"undirected","-"
"PYROGLUTAMIC.ACID","seq646",0.699336376997684,"undirected","+"
"D.erythro.N.stearoylsphingosine","seq646",-0.760204543143779,"undirected","-"
"Azelaic.acid..Not.validated.","seq1750",0.665891837165499,"undirected","+"
"X....Dihydrocervone","seq1750",0.663375873045227,"undirected","+"
"Azelaic.acid..Not.validated.","seq1245",0.635273880353213,"undirected","+"
"Enterolactone","seq1245",0.648739785547732,"undirected","+"
"p.Hydroxyphenyllactic.acid","seq746",0.642246642246642,"undirected","+"
